Unsorted,Run Time,Comparisons,Swaps
,13.5528,65704055,730043
,13.4292,65704055,730043
,13.4459,65704055,730043
,13.4388,65704055,730043
,13.4183,65704055,730043
,13.4159,65704055,730043
,13.406,65704055,730043
,13.6482,65704055,730043
,13.5245,65704055,730043
,13.5008,65704055,730043
Average,13.4780392051,65684056,720043.3125

Sorted,10.139313,704782710,3
,10.139089,704882707,100000
,10.133132,704882707,100000
,10.152445,704882707,100000
,10.13793,704882707,100000
,10.143754,704882707,100000
,10.34163,704882707,100000
,10.140787,704882707,100000
,10.13399,704882707,100000
,10.142265,704882707,100000
Average,10.1604328156,704872704,90000.296875
