Unsorted,Run Time,Comparisons,Swaps
,10.144468,704982704,708
,10.13808,704982704,708
,10.126889,704982704,708
,10.118338,704982704,708
,10.116931,704982704,708
,10.134526,704982704,708
,10.118451,704982704,708
,10.117362,704982704,708
,10.117007,704982704,708
,10.117014,704982704,708
Average,10.1249065399,704982656,708

Sorted,10.114448,704982704,0
,10.124197,704982704,0
,10.117979,704982704,0
,10.115896,704982704,0
,10.115392,704982704,0
,10.113283,704982704,0
,10.113357,704982704,0
,10.129339,704982704,0
,10.118119,704982704,0
,10.118497,704982704,0
Average,10.1180515289,704982656,0
