Unsorted,Run Time,Comparisons,Swaps
,0.001038,499500,38
,0.001072,499500,38
,0.001054,499500,38
,0.001071,499500,38
,0.001063,499500,38
,0.00107,499500,38
,0.001041,499500,38
,0.001047,499500,38
,0.001073,499500,38
,0.00107,499500,38
Average,0.00105990003794,499500,38

Sorted,0.001078,499500,0
,0.001026,499500,0
,0.001022,499500,0
,0.001054,499500,0
,0.001054,499500,0
,0.001072,499500,0
,0.001034,499500,0
,0.001075,499500,0
,0.001079,499500,0
,0.001023,499500,0
Average,0.00105169997551,499500,0
