Unsorted,Run Time,Comparisons,Swaps
,0.193357,91971602,800320
,0.190791,91971602,800320
,0.187543,91971602,800320
,0.187768,91971602,800320
,0.187179,91971602,800320
,0.189429,91971602,800320
,0.190332,91971602,800320
,0.189419,91971602,800320
,0.189207,91971602,800320
,0.187032,91971602,800320
Average,0.18920570612,91971592,800320

Sorted,2.4e-01,9998,0
,2.2e-01,9998,0
,2.2e-01,9998,0
,2e-01,9998,0
,2e-01,9998,0
,2e-01,9998,0
,2.1e-01,9998,0
,2.1e-01,9998,0
,2.2e-01,9998,0
,2.1e-01,9998,0
Average,2.13000002987e-01,9998,0
