Unsorted,Run Time,Comparisons,Swaps
,0.2918,1333075,70157
,0.2893,1333075,70157
,0.2961,1333075,70157
,0.2911,1333075,70157
,0.2842,1333075,70157
,0.2936,1333075,70157
,0.2822,1333075,70157
,0.2895,1333075,70157
,0.282,1333075,70157
,0.2878,1333075,70157
Average,0.28875998687,1333075,70157

Sorted,0.10177,49985003,10000
,0.101712,49985003,10000
,0.101533,49985003,10000
,0.101538,49985003,10000
,0.10153,49985003,10000
,0.101546,49985003,10000
,0.101598,49985003,10000
,0.10156,49985003,10000
,0.101482,49985003,10000
,0.103341,49985003,10000
Average,0.101760998368,49985003,10000
